release_year,genero,playtime_hours
2003,Adventure,16
2008,Simulation,16
2006,Adventure,15
2004,Strategy,15
2018,Casual,15
2007,RPG,15
2018,Adventure,15
2001,Action,14
2017,Education,14
2011,Racing,14
2002,Strategy,13
2000,Action,13
1998,Action,13
2018,Early Access,12
1997,Action,12
1993,Action,12
1994,Action,12
2018,RPG,12
2018,Simulation,12
2016,Animation &amp; Modeling,12
2018,Strategy,11
1999,Strategy,11
2012,Massively Multiplayer,11
2014,Animation &amp; Modeling,11
1994,Adventure,11
1993,Adventure,11
2002,Action,11
1996,Action,11
2011,Free to Play,11
1996,Adventure,11
1997,Adventure,10
1998,Adventure,10
2005,Adventure,10
2005,RPG,10
2006,Racing,10
2015,Software Training,10
2015,Education,10
2009,Racing,9
2014,Utilities,9
2010,Racing,9
2001,Adventure,9
2004,Adventure,9
2015,Video Production,9
1998,Strategy,9
2006,RPG,9
2003,Indie,8
2017,Audio Production,8
1995,Action,8
2016,Education,8
2001,Simulation,8
2018,Free to Play,8
1995,Adventure,7
2015,Audio Production,7
2017,Software Training,7
1992,Adventure,7
2011,Massively Multiplayer,7
2011,Sports,7
1991,Adventure,7
1997,Casual,7
2003,Casual,7
2005,Simulation,7
2005,Casual,7
2000,Adventure,7
1997,Strategy,7
2001,Casual,7
2008,Racing,7
2003,RPG,7
1998,Casual,7
2004,Simulation,7
2000,Simulation,6
1998,Simulation,6
2005,Racing,6
2001,Indie,6
2007,Racing,6
1996,Casual,6
2008,Free to Play,6
1999,Simulation,6
2009,Sports,6
2003,Simulation,5
1999,Adventure,5
2016,Software Training,5
2005,Indie,5
2007,Free to Play,5
2002,Adventure,5
2016,Audio Production,5
2010,Free to Play,5
2013,Early Access,5
2013,Utilities,5
2013,Education,5
2000,Strategy,5
1998,Indie,5
1994,Simulation,5
2013,Animation &amp; Modeling,5
2014,Education,4
1992,RPG,4
1993,Strategy,4
2004,Indie,4
1999,RPG,4
2012,Sports,4
1995,Strategy,4
1997,RPG,4
1997,Indie,4
2008,Sports,4
2000,Casual,4
2008,Massively Multiplayer,4
2000,RPG,4
2018,Racing,4
1995,Casual,4
1999,Casual,4
2014,Audio Production,4
1998,Racing,4
2002,RPG,4
2014,Software Training,3
1992,Action,3
1989,Adventure,3
2000,Indie,3
1989,Simulation,3
1991,Strategy,3
1991,Action,3
2017,Video Production,3
1987,Adventure,3
2004,RPG,3
2007,Massively Multiplayer,3
1996,Indie,3
2004,Casual,3
1999,Racing,3
1993,Simulation,3
1995,Simulation,3
2016,Video Production,3
1992,Strategy,2
1989,Action,2
1988,Strategy,2
1988,Adventure,2
2007,Sports,2
1998,RPG,2
1999,Indie,2
1995,RPG,2
1996,RPG,2
2017,Photo Editing,2
2010,Massively Multiplayer,2
1999,Sports,2
2009,Free to Play,2
1997,Racing,2
1995,Racing,2
2003,Racing,2
2001,Massively Multiplayer,2
1994,RPG,2
2013,Software Training,2
1993,Casual,2
1993,RPG,2
2003,Massively Multiplayer,2
1994,Casual,2
2001,RPG,2
2003,Free to Play,2
1991,RPG,2
2014,Photo Editing,2
1994,Strategy,2
2002,Casual,2
1995,Indie,2
2006,Free to Play,2
2006,Utilities,2
2002,Indie,2
2006,Massively Multiplayer,2
2002,Simulation,2
1997,Simulation,2
2018,Sports,1
2018,Education,1
2019,Action,1
2019,Adventure,1
2019,Indie,1
2019,RPG,1
2021,Adventure,1
2021,Indie,1
1983,Action,1
2016,Photo Editing,1
2015,Photo Editing,1
1994,Indie,1
1992,Simulation,1
1992,Indie,1
1991,Simulation,1
1990,Simulation,1
1990,Action,1
1989,RPG,1
1988,Simulation,1
1988,Indie,1
1988,Action,1
1987,Simulation,1
1986,Simulation,1
1986,RPG,1
1986,Indie,1
1986,Casual,1
1986,Adventure,1
1984,Indie,1
1984,Casual,1
1984,Adventure,1
1984,Action,1
1983,Casual,1
1994,Racing,1
1995,Sports,1
1996,Free to Play,1
2005,Web Publishing,1
2013,Audio Production,1
2012,Web Publishing,1
2012,Utilities,1
2012,Animation &amp; Modeling,1
2010,Sports,1
2009,Utilities,1
2009,Massively Multiplayer,1
1983,Adventure,1
2006,Sports,1
2005,Sports,1
1996,Racing,1
2005,Massively Multiplayer,1
2004,Racing,1
2004,Free to Play,1
2001,Free to Play,1
2000,Racing,1
1999,Free to Play,1
1996,Strategy,1
1996,Sports,1
1996,Simulation,1
2021,RPG,1
